iter	TotalF1:average=Macro	MultiClass
288	0.4572960067	1.183002131
289	0.4573188136	1.18250616
290	0.4573374722	1.182021572
291	0.4573975434	1.181543759
292	0.457383677	1.181052396
293	0.4573989862	1.18056835
294	0.4574222841	1.180094061
295	0.4575089813	1.179618417
296	0.4574971445	1.179143721
297	0.457525238	1.178668484
298	0.4575457856	1.178200699
299	0.4575890731	1.177729933
300	0.4576884382	1.177261336
301	0.4576938174	1.176804121
302	0.4577336045	1.176339724
303	0.4577468025	1.175886439
304	0.4577801658	1.175431664
305	0.4578206685	1.174988678
306	0.4578183411	1.174542169
307	0.457860922	1.174096337
308	0.4579492765	1.173657823
309	0.4580280878	1.173218767
310	0.4580670851	1.172787841
311	0.4580820289	1.172355696
312	0.4581534304	1.17191786
313	0.4581279385	1.171494794
314	0.4581813351	1.171070373
315	0.4582964476	1.170651101
316	0.4582840627	1.170223157
317	0.4583274978	1.169797788
318	0.4583683308	1.169382581
319	0.4583027283	1.168969408
320	0.4583899479	1.168553931
321	0.458427071	1.168136014
322	0.4584289803	1.167724196
323	0.4584979344	1.167312648
324	0.4585084478	1.166904895
325	0.4585248217	1.166496058
326	0.4584906993	1.166099417
327	0.4585250517	1.165707654
328	0.45859582	1.165310878
329	0.4585495636	1.164914778
330	0.4586351518	1.164526945
331	0.4586890183	1.164137351
332	0.4587686245	1.163750602
333	0.4588133101	1.163366292
334	0.4588706085	1.162977917
335	0.458830527	1.162595234
336	0.4589847465	1.162217429
337	0.4590680545	1.16184396
338	0.4590077467	1.161472117
339	0.4590657424	1.161102714
340	0.4590740898	1.160733582
341	0.459109119	1.160359706
342	0.459107815	1.159989625
343	0.4591984386	1.159628217
344	0.4592059697	1.159264641
345	0.4592641187	1.158902013
346	0.4592628287	1.158548871
347	0.4593253838	1.158193831
348	0.4594453003	1.157832017
349	0.4594505868	1.157470202
350	0.4594978677	1.157116518
351	0.4595199672	1.156760665
352	0.4596256666	1.156417687
353	0.4596247298	1.156076469
354	0.4596895117	1.155731187
355	0.4597086235	1.155382923
356	0.4597520435	1.155039403
357	0.4597552657	1.154701844
358	0.4597759226	1.154368216
359	0.4598668799	1.154030522
360	0.4599166204	1.153695945
361	0.4599714485	1.153365569
362	0.4600074942	1.153034921
363	0.4600654577	1.1527059
364	0.4601091541	1.152376744
365	0.4601423104	1.152050839
366	0.4601500782	1.151726561
367	0.4601735416	1.151401741
368	0.4601964099	1.151084374
369	0.4601539536	1.150767142
370	0.4601390144	1.150448149
371	0.4601821922	1.150135118
372	0.4601903041	1.149829269
373	0.46025521	1.14951651
374	0.4602598837	1.149208086
375	0.4603132263	1.148903186
376	0.4603252773	1.148585277
377	0.4603619717	1.148272517
378	0.4603703725	1.14797507
379	0.4603616699	1.147679114
380	0.4603485092	1.147375704
381	0.4604199268	1.147076225
382	0.4604702503	1.146774306
383	0.4605563156	1.146481331
384	0.4605663482	1.146189575
385	0.4605244724	1.145897684
386	0.4605114862	1.145611756
387	0.4605599665	1.14532786
388	0.4605886054	1.145043151
389	0.4605533478	1.14475939
390	0.4605700985	1.144479153
391	0.4606307152	1.144188211
392	0.4606238798	1.143907703
393	0.4605817196	1.143631938
394	0.4606498425	1.143348177
395	0.4607224221	1.143070244
396	0.4607530012	1.142795156
397	0.4607881981	1.142528877
398	0.4608574499	1.142265985
399	0.460921606	1.141990491
400	0.4609691917	1.141712964
401	0.4609255251	1.141447904
402	0.4609665476	1.141176882
403	0.4609698187	1.140911551
404	0.4610161447	1.140643374
405	0.4610682062	1.140384819
406	0.4611015783	1.140124367
407	0.4611210436	1.139861746
408	0.4611057109	1.139603733
409	0.4610946751	1.139351411
410	0.4611166169	1.139092856
411	0.4612109142	1.138838908
412	0.461199051	1.138581301
413	0.4612021876	1.138325321
414	0.4612092	1.13807056
415	0.4612507181	1.137818915
416	0.4612767904	1.137572556
417	0.4613081629	1.137325113
418	0.4613445178	1.137081057
419	0.4613888341	1.136831175
420	0.4614315007	1.136585086
421	0.4614582921	1.136347806
422	0.4614872513	1.136099143
423	0.4615210526	1.135862812
424	0.4615494658	1.135626887
425	0.4615852248	1.13539191
426	0.4615983089	1.135159644
427	0.4616485114	1.134918705
428	0.4616650528	1.134685355
429	0.4616949769	1.134451463
430	0.4616989355	1.134226514
431	0.4617210996	1.133998449
432	0.4617451804	1.13377201
433	0.4617567276	1.133542861
434	0.4618144219	1.133310866
435	0.4618826671	1.133088085
436	0.4619231574	1.132863408
437	0.4619289189	1.132640221
438	0.4619298628	1.132421641
439	0.4619407296	1.132196828
440	0.4619866175	1.13197581
441	0.4620070303	1.131763057
442	0.4619984669	1.131546239
443	0.4620584582	1.131333961
444	0.4620910244	1.131118702
445	0.462169831	1.130899783
446	0.4622454954	1.130684185
447	0.4622558051	1.130470077
448	0.4623311422	1.13025807
449	0.4623256762	1.130043285
450	0.4623754539	1.129836359
451	0.4623979501	1.129636819
452	0.4624248652	1.129427319
453	0.4624721262	1.129219648
454	0.4625290505	1.129012723
455	0.4625827492	1.128808507
456	0.46259112	1.12860497
457	0.4626143313	1.128400212
458	0.4626450434	1.128196674
459	0.4626988242	1.127992527
460	0.4627322681	1.12779441
461	0.462777928	1.127597715
462	0.4627910404	1.127402308
463	0.4627717351	1.127207104
464	0.4627827447	1.127015424
465	0.4628131003	1.126820152
466	0.462869827	1.126629623
467	0.4629182495	1.126434691
468	0.4629571269	1.126244704
469	0.4629921094	1.126054378
470	0.4629884459	1.125871167
471	0.4630016261	1.125681926
472	0.4630041164	1.125495801
473	0.4630211372	1.125307983
474	0.4630150344	1.125125314
475	0.4630588092	1.124942171
476	0.4630651716	1.124761466
477	0.4630848526	1.124578526
478	0.4631221559	1.124398297
479	0.4631675073	1.124218541
480	0.4632006058	1.124034043
481	0.4632193487	1.123852593
482	0.4632313549	1.123678597
483	0.4632484632	1.123499993
484	0.4633083252	1.123323287
485	0.4633824637	1.123147393
486	0.4633774143	1.122976175
487	0.4634324061	1.122802788
488	0.4634706594	1.122630079
489	0.4634995369	1.122453237
490	0.4635140369	1.122284593
491	0.4634957572	1.122109852
492	0.4635451605	1.12194297
